candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_Elongation_pct
CAND_00046,Al7.25Cr25.36Mo23.44Nb9.20W34.75,5,7.25,0.0,25.36,0.0,0.0,0.0,23.44,9.2,0.0,0.0,0.0,34.75,100.0,True,42.13066
CAND_00047,Co9.52Cr16.59Fe12.08Ti28.10V15.30W18.41,6,0.0,9.52,16.59,0.0,12.08,0.0,0.0,0.0,0.0,28.1,15.3,18.41,100.0,True,36.99846
CAND_00048,Co31.88Cu38.31Fe15.79W14.02,4,0.0,31.88,0.0,38.31,15.79,0.0,0.0,0.0,0.0,0.0,0.0,14.02,100.0,True,56.254044
CAND_00049,Al17.70Cr7.18Nb15.68Ni17.21Ti42.23,5,17.7,0.0,7.18,0.0,0.0,0.0,0.0,15.68,17.21,42.23,0.0,0.0,100.0,True,47.763863
CAND_00050,Co18.89Cu25.26Nb16.24V11.91W27.70,5,0.0,18.89,0.0,25.26,0.0,0.0,0.0,16.24,0.0,0.0,11.91,27.7,100.0,True,43.618385
CAND_00051,Co30.44Mn14.47Nb22.73Ti17.73V6.70W7.93,6,0.0,30.44,0.0,0.0,0.0,14.47,0.0,22.73,0.0,17.73,6.7,7.93,100.0,True,55.38417
CAND_00052,Al23.86Fe16.73Mn26.54Nb13.25V19.62,5,23.86,0.0,0.0,0.0,16.73,26.54,0.0,13.25,0.0,0.0,19.62,0.0,100.0,True,47.15526
CAND_00053,Co9.30Fe39.60Ni33.98Ti17.12,4,0.0,9.3,0.0,0.0,39.6,0.0,0.0,0.0,33.98,17.12,0.0,0.0,100.0,True,52.145847
CAND_00054,Al16.92Co10.32Cr25.17Fe22.37Mn19.35Ti5.87,6,16.92,10.32,25.17,0.0,22.37,19.35,0.0,0.0,0.0,5.87,0.0,0.0,100.0,True,51.17269
CAND_00055,Cu36.79Nb32.04V13.20W17.97,4,0.0,0.0,0.0,36.79,0.0,0.0,0.0,32.04,0.0,0.0,13.2,17.97,100.0,True,33.966194
CAND_00056,Co13.74Cr10.87Cu16.48Fe6.45Ti20.57W31.89,6,0.0,13.74,10.87,16.48,6.45,0.0,0.0,0.0,0.0,20.57,0.0,31.89,100.0,True,38.165504
CAND_00057,Al31.32Co26.90Cu8.54Ni15.44Ti12.02W5.78,6,31.32,26.9,0.0,8.54,0.0,0.0,0.0,0.0,15.44,12.02,0.0,5.78,100.0,True,60.79462
CAND_00058,Al23.90Co22.54Ti30.28W23.28,4,23.9,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.28,0.0,23.28,100.0,True,54.071625
CAND_00059,Mn22.72Nb13.39Ni33.03Ti30.86,4,0.0,0.0,0.0,0.0,0.0,22.72,0.0,13.39,33.03,30.86,0.0,0.0,100.0,True,43.807808
CAND_00060,Al18.19Nb14.32Ni18.97Ti14.17W34.35,5,18.19,0.0,0.0,0.0,0.0,0.0,0.0,14.32,18.97,14.17,0.0,34.35,100.0,True,55.52749
CAND_00061,Cr12.52Cu20.55Nb6.24Ni24.83Ti35.86,5,0.0,0.0,12.52,20.55,0.0,0.0,0.0,6.24,24.83,35.86,0.0,0.0,100.0,True,31.778337
CAND_00062,Co11.73Mn11.70Ni7.69Ti38.64W30.24,5,0.0,11.73,0.0,0.0,0.0,11.7,0.0,0.0,7.69,38.64,0.0,30.24,100.0,True,43.475044
CAND_00063,Al7.15Co10.72Cr13.89Ni35.47Ti17.43W15.34,6,7.15,10.72,13.89,0.0,0.0,0.0,0.0,0.0,35.47,17.43,0.0,15.34,100.0,True,53.742683
CAND_00064,Al16.53Co36.66Fe32.82Mn13.99,4,16.53,36.66,0.0,0.0,32.82,13.99,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,51.90708
CAND_00065,Mo17.51Nb37.41Ti24.11W20.97,4,0.0,0.0,0.0,0.0,0.0,0.0,17.51,37.41,0.0,24.11,0.0,20.97,100.0,True,38.59633
CAND_00066,Cu15.27Mn21.35Nb19.00Ni14.83W29.55,5,0.0,0.0,0.0,15.27,0.0,21.35,0.0,19.0,14.83,0.0,0.0,29.55,100.0,True,42.80565
CAND_00067,Cr20.61Cu32.96Mo23.28Ni6.68Ti16.47,5,0.0,0.0,20.61,32.96,0.0,0.0,23.28,0.0,6.68,16.47,0.0,0.0,100.0,True,27.389313
CAND_00068,Al8.81Co24.25Cr21.47Cu20.28Ni13.27W11.92,6,8.81,24.25,21.47,20.28,0.0,0.0,0.0,0.0,13.27,0.0,0.0,11.92,100.0,True,50.512558
CAND_00069,Co7.01Cr22.89Ni39.71Ti11.26W19.13,5,0.0,7.01,22.89,0.0,0.0,0.0,0.0,0.0,39.71,11.26,0.0,19.13,100.0,True,49.50839
CAND_00070,Al16.87Fe17.74Nb24.03Ti41.36,4,16.87,0.0,0.0,0.0,17.74,0.0,0.0,24.03,0.0,41.36,0.0,0.0,100.0,True,45.972145
CAND_00071,Cr11.87Cu31.90Mn28.46Ni27.77,4,0.0,0.0,11.87,31.9,0.0,28.46,0.0,0.0,27.77,0.0,0.0,0.0,100.0,True,38.941948
CAND_00072,Cu18.96Mo17.67Ti37.82W25.55,4,0.0,0.0,0.0,18.96,0.0,0.0,17.67,0.0,0.0,37.82,0.0,25.55,100.0,True,36.189217
CAND_00073,Al23.92Cu33.96Mn30.02Nb12.10,4,23.92,0.0,0.0,33.96,0.0,30.02,0.0,12.1,0.0,0.0,0.0,0.0,100.0,True,44.09091
CAND_00074,Al23.44Cr19.87Cu7.85Nb30.48W18.36,5,23.44,0.0,19.87,7.85,0.0,0.0,0.0,30.48,0.0,0.0,0.0,18.36,100.0,True,50.63064
CAND_00075,Fe16.01Mn14.26Mo14.96Ni11.20Ti23.78V19.79,6,0.0,0.0,0.0,0.0,16.01,14.26,14.96,0.0,11.2,23.78,19.79,0.0,100.0,True,37.934113
CAND_00076,Al24.69Co15.05Cr27.94Cu10.24Mn22.08,5,24.69,15.05,27.94,10.24,0.0,22.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,65.93625
CAND_00077,Al34.26Cr13.69Fe25.01Nb27.04,4,34.26,0.0,13.69,0.0,25.01,0.0,0.0,27.04,0.0,0.0,0.0,0.0,100.0,True,42.914574
CAND_00078,Cu23.53Fe25.57Mo7.87Nb8.78Ti21.24W13.01,6,0.0,0.0,0.0,23.53,25.57,0.0,7.87,8.78,0.0,21.24,0.0,13.01,100.0,True,26.658125
CAND_00079,Cr16.76Fe21.48Nb10.47Ti18.46W32.83,5,0.0,0.0,16.76,0.0,21.48,0.0,0.0,10.47,0.0,18.46,0.0,32.83,100.0,True,23.662382
CAND_00080,Cr18.63Mn32.41Mo11.03Nb37.93,4,0.0,0.0,18.63,0.0,0.0,32.41,11.03,37.93,0.0,0.0,0.0,0.0,100.0,True,43.147278
CAND_00081,Co16.06Cu22.65Fe16.20Mn19.03Nb26.06,5,0.0,16.06,0.0,22.65,16.2,19.03,0.0,26.06,0.0,0.0,0.0,0.0,100.0,True,41.932213
CAND_00082,Cr25.12Cu20.46Fe5.89Mo38.03Ti10.50,5,0.0,0.0,25.12,20.46,5.89,0.0,38.03,0.0,0.0,10.5,0.0,0.0,100.0,True,36.395233
CAND_00083,Co38.10Cu16.60Fe18.18Nb27.12,4,0.0,38.1,0.0,16.6,18.18,0.0,0.0,27.12,0.0,0.0,0.0,0.0,100.0,True,55.531883
CAND_00084,Cu7.70Fe22.19Mo32.44V37.67,4,0.0,0.0,0.0,7.7,22.19,0.0,32.44,0.0,0.0,0.0,37.67,0.0,100.0,True,39.56375
CAND_00085,Cu5.32Mn42.17Mo24.60Nb5.75W22.16,5,0.0,0.0,0.0,5.32,0.0,42.17,24.6,5.75,0.0,0.0,0.0,22.16,100.0,True,34.71612
CAND_00086,Cr30.64Fe18.50V34.35W16.51,4,0.0,0.0,30.64,0.0,18.5,0.0,0.0,0.0,0.0,0.0,34.35,16.51,100.0,True,55.480755
CAND_00087,Al5.78Cr33.87Nb18.07Ti15.66W26.62,5,5.78,0.0,33.87,0.0,0.0,0.0,0.0,18.07,0.0,15.66,0.0,26.62,100.0,True,57.348953
CAND_00088,Cu8.53Fe44.45Mn17.90W29.12,4,0.0,0.0,0.0,8.53,44.45,17.9,0.0,0.0,0.0,0.0,0.0,29.12,100.0,True,40.600075
CAND_00089,Cr32.89Cu11.61Nb16.24Ti24.75W14.51,5,0.0,0.0,32.89,11.61,0.0,0.0,0.0,16.24,0.0,24.75,0.0,14.51,100.0,True,53.206753
CAND_00090,Al27.56Cu21.12Fe19.80Mo20.19Nb11.33,5,27.56,0.0,0.0,21.12,19.8,0.0,20.19,11.33,0.0,0.0,0.0,0.0,100.0,True,39.226906
CAND_00091,Co10.14Mn33.57Nb19.02Ti28.62W8.65,5,0.0,10.14,0.0,0.0,0.0,33.57,0.0,19.02,0.0,28.62,0.0,8.65,100.0,True,44.7668
CAND_00092,Al11.23Cr18.84Cu7.94Fe40.83Mo21.16,5,11.23,0.0,18.84,7.94,40.83,0.0,21.16,0.0,0.0,0.0,0.0,0.0,100.0,True,43.78017
CAND_00093,Cu17.77Fe44.21Mo15.82Nb22.20,4,0.0,0.0,0.0,17.77,44.21,0.0,15.82,22.2,0.0,0.0,0.0,0.0,100.0,True,36.64093
CAND_00094,Al12.50Cr5.53Fe39.90Ti17.79V24.28,5,12.5,0.0,5.53,0.0,39.9,0.0,0.0,0.0,0.0,17.79,24.28,0.0,100.0,True,44.56196
CAND_00095,Co29.13Cr8.79Fe24.95Nb31.35W5.78,5,0.0,29.13,8.79,0.0,24.95,0.0,0.0,31.35,0.0,0.0,0.0,5.78,100.0,True,57.17494
CAND_00096,Co9.79Fe41.07Ti17.15V31.99,4,0.0,9.79,0.0,0.0,41.07,0.0,0.0,0.0,0.0,17.15,31.99,0.0,100.0,True,43.172684
CAND_00097,Co6.74Cr13.70Mo20.45Nb14.65Ti44.46,5,0.0,6.74,13.7,0.0,0.0,0.0,20.45,14.65,0.0,44.46,0.0,0.0,100.0,True,36.384193
CAND_00098,Al13.59Co13.28Cr44.34Mn14.19Mo7.63Nb6.97,6,13.59,13.28,44.34,0.0,0.0,14.19,7.63,6.97,0.0,0.0,0.0,0.0,100.0,True,58.014748
CAND_00099,Al10.17Fe16.70Mn28.15Mo28.81Nb8.99V7.18,6,10.17,0.0,0.0,0.0,16.7,28.15,28.81,8.99,0.0,0.0,7.18,0.0,100.0,True,28.771238
CAND_00100,Al9.59Cu34.81Fe10.76Nb24.93V19.91,5,9.59,0.0,0.0,34.81,10.76,0.0,0.0,24.93,0.0,0.0,19.91,0.0,100.0,True,31.552088
CAND_00101,Co24.36Mn35.23Ti6.02V10.57W23.82,5,0.0,24.36,0.0,0.0,0.0,35.23,0.0,0.0,0.0,6.02,10.57,23.82,100.0,True,54.535393
CAND_00102,Co42.73Fe43.97Mn7.93Ni5.37,4,0.0,42.73,0.0,0.0,43.97,7.93,0.0,0.0,5.37,0.0,0.0,0.0,100.0,True,48.049484
CAND_00103,Co14.46Mn39.83Nb32.55V13.16,4,0.0,14.46,0.0,0.0,0.0,39.83,0.0,32.55,0.0,0.0,13.16,0.0,100.0,True,47.499634
CAND_00104,Al20.09Co12.51Cu35.13Fe12.99V9.14W10.14,6,20.09,12.51,0.0,35.13,12.99,0.0,0.0,0.0,0.0,0.0,9.14,10.14,100.0,True,50.532387
CAND_00105,Co18.96Cr11.02Fe12.64Nb18.56Ti16.36V22.46,6,0.0,18.96,11.02,0.0,12.64,0.0,0.0,18.56,0.0,16.36,22.46,0.0,100.0,True,41.68132
CAND_00106,Cr36.21Mo19.74Nb35.68Ni8.37,4,0.0,0.0,36.21,0.0,0.0,0.0,19.74,35.68,8.37,0.0,0.0,0.0,100.0,True,58.452396
CAND_00107,Al19.34Co19.99Cu18.72Mo8.85V25.49W7.61,6,19.34,19.99,0.0,18.72,0.0,0.0,8.85,0.0,0.0,0.0,25.49,7.61,100.0,True,50.248383
CAND_00108,Al10.84Co29.88Fe29.64V6.09W23.55,5,10.84,29.88,0.0,0.0,29.64,0.0,0.0,0.0,0.0,0.0,6.09,23.55,100.0,True,49.073105
CAND_00109,Co34.27Cr11.88Fe9.09Nb9.04W35.72,5,0.0,34.27,11.88,0.0,9.09,0.0,0.0,9.04,0.0,0.0,0.0,35.72,100.0,True,42.8762
CAND_00110,Co23.77Fe15.78Mo9.91V18.89W31.65,5,0.0,23.77,0.0,0.0,15.78,0.0,9.91,0.0,0.0,0.0,18.89,31.65,100.0,True,55.131218
CAND_00111,Al31.39Cu27.68Fe31.08Mo9.85,4,31.39,0.0,0.0,27.68,31.08,0.0,9.85,0.0,0.0,0.0,0.0,0.0,100.0,True,44.873093
CAND_00112,Cr11.40Mo31.11Nb17.09Ni17.85Ti22.55,5,0.0,0.0,11.4,0.0,0.0,0.0,31.11,17.09,17.85,22.55,0.0,0.0,100.0,True,46.11953
CAND_00113,Al20.43Mn17.36Ni35.72V26.49,4,20.43,0.0,0.0,0.0,0.0,17.36,0.0,0.0,35.72,0.0,26.49,0.0,100.0,True,61.603477
CAND_00114,Al18.31Mn24.13Nb22.35V18.62W16.59,5,18.31,0.0,0.0,0.0,0.0,24.13,0.0,22.35,0.0,0.0,18.62,16.59,100.0,True,52.570892
CAND_00115,Co18.71Mn37.03Mo6.36Ni15.23W22.67,5,0.0,18.71,0.0,0.0,0.0,37.03,6.36,0.0,15.23,0.0,0.0,22.67,100.0,True,51.365746
CAND_00116,Al27.51Co6.55Cu43.37Nb22.57,4,27.51,6.55,0.0,43.37,0.0,0.0,0.0,22.57,0.0,0.0,0.0,0.0,100.0,True,48.960526
CAND_00117,Cr22.48Mn9.68Nb26.02Ni11.84Ti29.98,5,0.0,0.0,22.48,0.0,0.0,9.68,0.0,26.02,11.84,29.98,0.0,0.0,100.0,True,48.74659
CAND_00118,Co32.27Fe12.11Mn15.94Ni27.10Ti12.58,5,0.0,32.27,0.0,0.0,12.11,15.94,0.0,0.0,27.1,12.58,0.0,0.0,100.0,True,58.695694
CAND_00119,Co10.39Cr13.46Mn24.68Mo20.59Ni11.11Ti19.77,6,0.0,10.39,13.46,0.0,0.0,24.68,20.59,0.0,11.11,19.77,0.0,0.0,100.0,True,41.008003
CAND_00120,Al11.64Nb33.21Ti32.63V22.52,4,11.64,0.0,0.0,0.0,0.0,0.0,0.0,33.21,0.0,32.63,22.52,0.0,100.0,True,46.725883
CAND_00121,Al13.99Co14.72Cr25.25Mo19.22Nb26.82,5,13.99,14.72,25.25,0.0,0.0,0.0,19.22,26.82,0.0,0.0,0.0,0.0,100.0,True,58.50237
CAND_00122,Al32.76Cu30.75Fe23.84Nb12.65,4,32.76,0.0,0.0,30.75,23.84,0.0,0.0,12.65,0.0,0.0,0.0,0.0,100.0,True,42.326233
CAND_00123,Co35.64Cr7.72Mo7.83Ti25.14W23.67,5,0.0,35.64,7.72,0.0,0.0,0.0,7.83,0.0,0.0,25.14,0.0,23.67,100.0,True,54.307934
CAND_00124,Co38.91Cr24.61Fe25.54Nb10.94,4,0.0,38.91,24.61,0.0,25.54,0.0,0.0,10.94,0.0,0.0,0.0,0.0,100.0,True,47.42362
CAND_00125,Al38.90Cr11.56Cu17.88Mn10.80Mo14.42Ti6.44,6,38.9,0.0,11.56,17.88,0.0,10.8,14.42,0.0,0.0,6.44,0.0,0.0,100.0,True,43.923363
CAND_00126,Co11.78Mn30.80Nb22.61Ni10.92V7.76W16.13,6,0.0,11.78,0.0,0.0,0.0,30.8,0.0,22.61,10.92,0.0,7.76,16.13,100.0,True,50.9131
CAND_00127,Al33.10Mn26.27Nb5.42Ni35.21,4,33.1,0.0,0.0,0.0,0.0,26.27,0.0,5.42,35.21,0.0,0.0,0.0,100.0,True,51.61035
CAND_00128,Cr42.10Fe13.93Mo8.73Ti22.75W12.49,5,0.0,0.0,42.1,0.0,13.93,0.0,8.73,0.0,0.0,22.75,0.0,12.49,100.0,True,52.28141
CAND_00129,Fe15.76Mn29.09Nb26.19V7.73W21.23,5,0.0,0.0,0.0,0.0,15.76,29.09,0.0,26.19,0.0,0.0,7.73,21.23,100.0,True,40.9458
CAND_00130,Fe33.03Mn23.70Nb8.13Ti25.95V9.19,5,0.0,0.0,0.0,0.0,33.03,23.7,0.0,8.13,0.0,25.95,9.19,0.0,100.0,True,31.762033
CAND_00131,Co22.04Fe21.35Mo15.30Nb7.27Ni34.04,5,0.0,22.04,0.0,0.0,21.35,0.0,15.3,7.27,34.04,0.0,0.0,0.0,100.0,True,49.1394
CAND_00132,Co9.92Mo12.94Nb21.01Ni9.07Ti5.18V41.88,6,0.0,9.92,0.0,0.0,0.0,0.0,12.94,21.01,9.07,5.18,41.88,0.0,100.0,True,42.58277
CAND_00133,Cu19.67Fe23.47Mn12.31Nb13.63Ni14.32V16.60,6,0.0,0.0,0.0,19.67,23.47,12.31,0.0,13.63,14.32,0.0,16.6,0.0,100.0,True,32.30421
CAND_00134,Al15.63Co11.37Fe10.03Mn23.81Ti33.63V5.53,6,15.63,11.37,0.0,0.0,10.03,23.81,0.0,0.0,0.0,33.63,5.53,0.0,100.0,True,55.564125
CAND_00135,Cu42.94Mo24.33Ti10.17V22.56,4,0.0,0.0,0.0,42.94,0.0,0.0,24.33,0.0,0.0,10.17,22.56,0.0,100.0,True,30.049847
CAND_00136,Cu44.28Fe19.04Ti27.21V9.47,4,0.0,0.0,0.0,44.28,19.04,0.0,0.0,0.0,0.0,27.21,9.47,0.0,100.0,True,37.029945
CAND_00137,Cu12.61Fe15.29Mn31.55Mo10.30Ti30.25,5,0.0,0.0,0.0,12.61,15.29,31.55,10.3,0.0,0.0,30.25,0.0,0.0,100.0,True,40.2872
CAND_00138,Cr10.62Fe30.47Mn37.70Mo7.50Nb6.02W7.69,6,0.0,0.0,10.62,0.0,30.47,37.7,7.5,6.02,0.0,0.0,0.0,7.69,100.0,True,32.614647
CAND_00139,Co23.00Fe10.21Ti30.55V13.48W22.76,5,0.0,23.0,0.0,0.0,10.21,0.0,0.0,0.0,0.0,30.55,13.48,22.76,100.0,True,48.133827
CAND_00140,Co21.30Cr13.47Fe38.65Ti26.58,4,0.0,21.3,13.47,0.0,38.65,0.0,0.0,0.0,0.0,26.58,0.0,0.0,100.0,True,43.301086
CAND_00141,Al13.84Mo18.32Nb21.62V7.66W38.56,5,13.84,0.0,0.0,0.0,0.0,0.0,18.32,21.62,0.0,0.0,7.66,38.56,100.0,True,50.608574
CAND_00142,Al16.48Co20.04Fe19.75Mo12.96Nb14.47V16.30,6,16.48,20.04,0.0,0.0,19.75,0.0,12.96,14.47,0.0,0.0,16.3,0.0,100.0,True,50.798164
CAND_00143,Cr32.55Mn32.70Nb13.70Ni21.05,4,0.0,0.0,32.55,0.0,0.0,32.7,0.0,13.7,21.05,0.0,0.0,0.0,100.0,True,46.208843
CAND_00144,Cu43.22Fe22.02Mo17.05Ni17.71,4,0.0,0.0,0.0,43.22,22.02,0.0,17.05,0.0,17.71,0.0,0.0,0.0,100.0,True,38.445007
